Host Name,IP Address,Reply IP Address,Succeed Count,Failed Count,Consecutive Failed Count,Max Consecutive Failed Count,Max Consecutive Failed Time,% Failed,Total Sent Pings,Last Ping Status,Last Ping Time,Last Ping TTL,Average Ping Time,Description,Last Succeed On,Last Failed On,Minimum Ping Time,Maximum Ping Time,Order
AKostenko,,,0,1,1,1,2021-10-20 5:07:59 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:59 PM,0,0,1
MKovaleva,,,0,1,1,1,2021-10-20 5:07:59 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:59 PM,0,0,2
MSK-1CPRODSQL01,10.194.9.11,10.194.9.11,1,0,,,,0%,1,Succeeded,0,127,0,,2021-10-20 5:07:35 PM,,0,0,3
MSK-1CPRODTS01,10.194.9.12,10.194.9.12,1,0,,,,0%,1,Succeeded,0,127,0,,2021-10-20 5:07:35 PM,,0,0,4
MSK-DC02,10.194.4.4,10.194.4.4,1,0,,,,0%,1,Succeeded,0,128,0,,2021-10-20 5:07:35 PM,,0,0,7
MSK-FS01,10.194.4.12,10.194.4.12,1,0,,,,0%,1,Succeeded,0,128,0,,2021-10-20 5:07:35 PM,,0,0,9
MSK-PRN01,10.194.4.11,10.194.4.11,1,0,,,,0%,1,Succeeded,0,128,0,,2021-10-20 5:07:35 PM,,0,0,11
MSK401634NB,,,0,1,1,1,2021-10-20 5:07:59 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:59 PM,0,0,5
MSKBACKUP01,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,6
MSKDC-VEEAM02,10.194.5.97,10.194.5.97,1,0,,,,0%,1,Succeeded,0,127,0,,2021-10-20 5:07:35 PM,,0,0,8
MSKHTTPPROXY01,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,10
MSKPUPPET01,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,12
MSKTACACS01,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,13
MSKTACACS02,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,14
MSKXNETMON01,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,15
MWE1APS20BE5001,10.9.82.54,,0,1,1,1,2021-10-20 5:07:36 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:07:36 PM,0,0,16
MWE1AZURE45001,10.9.82.154,,0,1,1,1,2021-10-20 5:07:36 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:07:36 PM,0,0,17
MWE1BITB1001,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,18
MWE1BM5001,10.9.1.56,,0,1,1,1,2021-10-20 5:07:36 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:07:36 PM,0,0,19
MWE1CONFLU1002,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,20
MWE1EAZYBI1002,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,21
MWE1JIRA1002,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,22
MWE1LINDNS5001,10.9.97.9,,0,1,1,1,2021-10-20 5:07:36 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:07:36 PM,0,0,23
MWE1LINDNS5002,10.9.97.10,,0,1,1,1,2021-10-20 5:07:36 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:07:36 PM,0,0,24
MWE1LINMN5001,10.9.1.73,,0,1,1,1,2021-10-20 5:07:36 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:07:36 PM,0,0,25
MWE1LINPPS5001,10.9.97.75,,0,1,1,1,2021-10-20 5:07:36 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:07:36 PM,0,0,26
MWE1O3655001,10.9.82.55,,0,1,1,1,2021-10-20 5:07:36 PM,100.00%,1,Request Timeout,0,,,,,2021-10-20 5:07:36 PM,0,0,27
MWE1SONARQ1001,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,28
NSL420129WS,,,0,1,1,1,2021-10-20 5:07:59 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:59 PM,0,0,29
ntarasenkoesc,,,0,1,1,1,2021-10-20 5:07:59 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:59 PM,0,0,30
TUKCRAM01,,,0,1,1,1,2021-10-20 5:07:37 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:37 PM,0,0,31
vmetlinskaya,,,0,1,1,1,2021-10-20 5:07:59 PM,100.00%,1,Bad Host Name,0,,,,,2021-10-20 5:07:59 PM,0,0,32
